numberOfData, addingTime, findingTime, deletingTime
700, 100, 1500, 2300
701, 200, 2900, 1700
702, 100, 1600, 1400
703, 100, 1500, 2500
704, 100, 1600, 4800
705, 100, 1600, 1500
706, 100, 1600, 2300
707, 100, 1600, 1500
708, 100, 1500, 1400
709, 100, 1600, 2200
710, 100, 2100, 1500
711, 200, 1500, 1400
712, 0, 1600, 2400
713, 100, 1500, 1300
714, 100, 1500, 1300
715, 0, 1500, 2600
716, 100, 2100, 1300
717, 100, 1500, 1400
718, 0, 1500, 2400
719, 0, 1500, 1400
720, 0, 2100, 1500
721, 100, 1800, 2300
722, 100, 1600, 1900
723, 100, 1600, 1400
724, 100, 2100, 2700
725, 100, 1600, 1500
726, 100, 1600, 1400
727, 100, 1600, 3300
728, 100, 1500, 1300
729, 100, 1500, 1700
730, 100, 1700, 3100
731, 100, 1600, 1400
732, 100, 1900, 1500
733, 100, 1600, 2400
734, 100, 1600, 1400
735, 100, 1500, 1400
736, 100, 2400, 2500
737, 100, 2000, 1700
738, 0, 1600, 1300
739, 100, 1500, 2400
740, 100, 1500, 1300
741, 100, 1500, 1500
742, 100, 1600, 2400
743, 100, 2000, 1400
744, 100, 1700, 1400
745, 100, 1600, 2200
746, 0, 1600, 1300
747, 700, 22600, 3600
748, 200, 4300, 2000
749, 200, 1900, 2900
750, 100, 1500, 1400
751, 100, 2400, 1400
752, 100, 1600, 1400
753, 100, 1700, 1400
754, 100, 2400, 1400
755, 100, 1700, 1400
756, 0, 1400, 1400
757, 100, 2000, 2400
758, 100, 1500, 1400
759, 1100, 18800, 42000
760, 200, 5700, 3200
761, 100, 3500, 2100
762, 100, 1800, 2000
763, 100, 1800, 2700
764, 100, 1500, 1400
765, 100, 1500, 1300
766, 100, 1500, 2200
767, 100, 1500, 2400
768, 1400, 16400, 25900
769, 300, 2800, 3000
770, 200, 2400, 1500
771, 100, 1800, 1400
772, 0, 2400, 1400
773, 100, 1400, 1400
774, 100, 1500, 1300
775, 100, 3500, 1400
776, 100, 1500, 1400
777, 100, 1500, 1300
778, 100, 2700, 1300
779, 100, 1500, 1300
780, 400, 6700, 2000
781, 0, 2900, 1500
782, 100, 1600, 1400
